id,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,release_year,profit
135397.0,32.985763,137999939.3,1392445893.0,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,124.0,['Action Adventure Science Fiction Thriller'],Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562.0,2015.0,1254445953.0
76341.0,28.419936,137999939.3,348161292.5,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,120.0,['Action Adventure Science Fiction Thriller'],Village Roadshow Pictures|Kennedy Miller Productions,6185.0,2015.0,210161353.2
262500.0,13.112507,101199955.5,271619025.4,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,119.0,['Adventure Science Fiction Thriller'],Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480.0,2015.0,170419069.9
140607.0,11.173104,183999919.0,1902723130.0,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,136.0,['Action Adventure Science Fiction Fantasy'],Lucasfilm|Truenorth Productions|Bad Robot,5292.0,2015.0,1718723211.0
168259.0,9.335014,174799923.1,1385748801.0,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,137.0,['Action Crime Thriller'],Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947.0,2015.0,1210948878.0
281957.0,9.1107,124199945.4,490314247.0,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156.0,['Western Drama Adventure Thriller'],Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929.0,2015.0,366114301.7
87101.0,8.654359,142599937.3,405355075.7,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,125.0,['Science Fiction Action Thriller Adventure'],Paramount Pictures|Skydance Productions,2598.0,2015.0,262755138.4
286217.0,7.6674,99359956.28,547749654.3,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,141.0,['Drama Adventure Science Fiction'],Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572.0,2015.0,448389698.0
211672.0,7.404165,68079970.04,1064192017.0,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,91.0,['Family Animation Adventure Comedy'],Universal Pictures|Illumination Entertainment,2893.0,2015.0,996112046.8
150540.0,6.326804,160999929.2,785411574.7,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,94.0,['Comedy Animation Family'],Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935.0,2015.0,624411645.5
206647.0,6.200282,225399900.8,810220283.8,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,148.0,['Action Adventure Crime'],Columbia Pictures|Danjaq|B24,3254.0,2015.0,584820383.0
76757.0,6.189369,161919931.5,169268630.7,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,124.0,['Science Fiction Fantasy Action Adventure'],Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937.0,2015.0,7348699.167
264660.0,6.118847,13799993.93,33919845.96,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,108.0,['Drama Science Fiction'],DNA Films|Universal Pictures International (UPI)|Film4,2854.0,2015.0,20119852.03
257344.0,5.984995,80959964.38,224146025.1,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105.0,['Action Comedy Science Fiction'],Columbia Pictures|Happy Madison Productions,1575.0,2015.0,143186060.7
99861.0,5.944927,257599886.7,1292632337.0,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141.0,['Action Adventure Science Fiction'],Marvel Studios|Prime Focus|Revolution Sun Studios,4304.0,2015.0,1035032450.0
273248.0,5.8984,40479982.19,143299244.6,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,167.0,['Crime Drama Mystery Western'],Double Feature Films|The Weinstein Company|FilmColony,2389.0,2015.0,102819262.4
260346.0,5.749758,44159980.57,299709578.2,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,109.0,['Crime Action Thriller'],Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578.0,2015.0,255549597.6
102899.0,5.573184,119599947.4,477113780.0,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,115.0,['Science Fiction Action Adventure'],Marvel Studios,3779.0,2015.0,357513832.7
150689.0,5.556818,87399961.54,498963025.2,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,112.0,['Romance Fantasy Family Drama'],Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495.0,2015.0,411563063.7
131634.0,5.476958,147199935.2,598481289.5,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,136.0,['War Adventure Science Fiction'],Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380.0,2015.0,451281354.3
158852.0,5.462138,174799923.1,192312729.9,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,130.0,['Action Family Science Fiction Adventure Mystery'],Walt Disney Pictures|Babieka|A113,1899.0,2015.0,17512806.85
307081.0,5.337064,27599987.86,84373003.72,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,123.0,['Action Drama'],Escape Artists|Riche-Ludwig Productions,1386.0,2015.0,56773015.86
254128.0,4.907832,101199955.5,432851375.0,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,114.0,['Action Drama Thriller'],New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060.0,2015.0,331651419.5
216015.0,4.710402,36799983.81,524079119.0,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,125.0,['Drama Romance'],Focus Features|Trigger Street Productions|Michael De Luca Productions,1865.0,2015.0,487279135.2
318846.0,4.648046,25759988.67,122678731.5,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,130.0,['Comedy Drama'],Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545.0,2015.0,96918742.88
177677.0,4.566713,137999939.3,627743451.7,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,131.0,['Action'],Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2349.0,2015.0,489743512.4
214756.0,4.564549,62559972.47,198594430.1,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,115.0,['Comedy'],Universal Pictures|Media Rights Capital|Fuzzy Door Productions,1666.0,2015.0,136034457.7
207703.0,4.503789,74519967.21,371497801.7,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,130.0,['Crime Comedy Action Adventure'],Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833.0,2015.0,296977834.4
314365.0,4.062293,18399991.9,81278719.4,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,128.0,['Drama Thriller History'],Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559.0,2015.0,62878727.49
294254.0,3.968891,56119975.31,286356245.9,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,132.0,['Action Science Fiction Thriller'],Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849.0,2015.0,230236270.6
198184.0,3.899557,45079980.16,93903685.24,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,120.0,['Mystery Drama'],Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990.0,2015.0,27006774.88
254470.0,3.877764,26679988.26,264505582.1,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,115.0,['Crime Action Science Fiction'],Universal Pictures|Gold Circle Films|Brownstone Productions,1264.0,2015.0,48823705.08
296098.0,3.64821,36799983.81,149601569.3,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,141.0,['Comedy Music'],DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638.0,2015.0,237825593.8
257445.0,3.644541,53359976.52,138157089.0,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,103.0,['Thriller Drama'],Columbia Pictures|Original Film|Scholastic Entertainment,600.0,2015.0,112801585.5
264644.0,3.557846,5519997.571,32569603.03,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,117.0,['Adventure Horror Comedy'],Element Pictures|No Trace Camping|A24|Duperele Films,1520.0,2015.0,84797112.49
105864.0,3.339135,160999929.2,305371920.9,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,93.0,['Drama Thriller'],Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087.0,2015.0,27049605.46
241554.0,3.23737,45999979.76,65836683.51,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,114.0,['Crime Drama Mystery'],Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814.0,2015.0,20566197.19
167073.0,3.227329,10119995.55,57110024.59,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,111.0,['Adventure Animation Comedy Family Fantasy'],Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754.0,2015.0,144371991.7
277216.0,3.202719,25759988.67,185504110.1,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,147.0,['Action Crime Drama Mystery Thriller'],New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918.0,2015.0,19836703.75
274854.0,3.080505,82799963.57,129164861.2,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,106.0,['Drama Romance'],Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879.0,2015.0,46990029.04
321697.0,3.079522,27599987.86,31686509.22,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,122.0,['Drama Music'],Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035.0,2015.0,159744121.4
203801.0,3.053421,68999969.64,99493456.5,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,116.0,['Fantasy Action Adventure'],Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548.0,2015.0,46364897.6
293863.0,3.025852,22999989.88,39219376.66,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,112.0,['History Drama'],Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221.0,2015.0,4086521.362
325348.0,3.023253,9199995.952,13187081.0,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,97.0,['Comedy Action Adventure'],Bazelevs Production|Versus Pictures,396.0,2015.0,30493486.86
228161.0,2.976436,124199945.4,339361177.1,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,94.0,['Fantasy Drama Romance'],Twentieth Century Fox Film Corporation|DreamWorks Animation,1060.0,2015.0,16219386.78
286565.0,2.968254,11039995.14,78671281.38,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,109.0,['Action Adventure Science Fiction'],Fox 2000 Pictures,1252.0,2015.0,3987085.046
254320.0,2.885126,3679998.381,8339346.451,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,118.0,['Fantasy Comedy Animation Science Fiction Family'],Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638.0,2015.0,215161231.8
258480.0,2.883233,10855995.22,37050347.9,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,118.0,['Drama Mystery Romance'],Killer Films|Film4|Number 9 Films,562.0,2015.0,67631286.24
257211.0,2.814802,32199985.83,178999419.5,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,121.0,['Thriller Crime Drama'],Waverly Films|Warner Bros.,1255.0,2015.0,-27599987.86
253412.0,2.798017,50599977.74,187153294.9,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,121.0,['Thriller Comedy Drama Romance Science Fiction'],Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172.0,2015.0,4659348.07
274479.0,2.793297,55199975.71,93043293.34,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,124.0,['Romance Drama'],Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001.0,2015.0,26194352.67
